frame.number;eth.src;ip.src;eth.dst;ip.dst;_ws.col.Protocol;_ws.col.Info
1;;127.0.0.1;;127.0.0.1;TCP;45674 → 8080 [ACK] Seq=1 Ack=1 Win=3637 Len=0 TSval=805862 TSecr=805862
2;;127.0.0.1;;127.0.0.1;TCP;8080 → 45674 [PSH, ACK] Seq=1 Ack=1 Win=350 Len=8192 TSval=805862 TSecr=805862
3;;127.0.0.1;;127.0.0.1;TCP;45674 → 8080 [ACK] Seq=1 Ack=8193 Win=3637 Len=0 TSval=805862 TSecr=805862
4;;127.0.0.1;;127.0.0.1;TCP;8080 → 45674 [PSH, ACK] Seq=8193 Ack=1 Win=350 Len=8192 TSval=805862 TSecr=805862
5;;127.0.0.1;;127.0.0.1;TCP;45674 → 8080 [ACK] Seq=1 Ack=16385 Win=3637 Len=0 TSval=805862 TSecr=805862
6;;127.0.0.1;;127.0.0.1;TCP;8080 → 45674 [PSH, ACK] Seq=16385 Ack=1 Win=350 Len=8192 TSval=805862 TSecr=805862
7;;127.0.0.1;;127.0.0.1;TCP;45674 → 8080 [ACK] Seq=1 Ack=24577 Win=3637 Len=0 TSval=805862 TSecr=805862
8;;127.0.0.1;;127.0.0.1;TCP;8080 → 45674 [PSH, ACK] Seq=24577 Ack=1 Win=350 Len=8192 TSval=805862 TSecr=805862
9;;127.0.0.1;;127.0.0.1;TCP;45674 → 8080 [ACK] Seq=1 Ack=32769 Win=3637 Len=0 TSval=805862 TSecr=805862
10;;127.0.0.1;;127.0.0.1;TCP;8080 → 45674 [PSH, ACK] Seq=32769 Ack=1 Win=350 Len=16384 TSval=805862 TSecr=805862
11;;127.0.0.1;;127.0.0.1;TCP;45674 → 8080 [ACK] Seq=1 Ack=49153 Win=3637 Len=0 TSval=805862 TSecr=805862
12;;127.0.0.1;;127.0.0.1;TCP;8080 → 45674 [PSH, ACK] Seq=49153 Ack=1 Win=350 Len=7068 TSval=805862 TSecr=805862
13;;127.0.0.1;;127.0.0.1;TCP;45674 → 8080 [ACK] Seq=1 Ack=56221 Win=3637 Len=0 TSval=805862 TSecr=805862
14;;127.0.0.1;;127.0.0.1;TCP;8080 → 45674 [FIN, ACK] Seq=56221 Ack=1 Win=350 Len=0 TSval=805862 TSecr=805862
15;;127.0.0.1;;127.0.0.1;TCP;45674 → 8080 [FIN, ACK] Seq=1 Ack=56222 Win=3637 Len=0 TSval=805862 TSecr=805862
16;;127.0.0.1;;127.0.0.1;TCP;8080 → 45674 [ACK] Seq=56222 Ack=2 Win=350 Len=0 TSval=805862 TSecr=805862
17;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=805921 TSecr=0 WS=128
18;;127.0.0.1;;127.0.0.1;TCP;8080 → 45676 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=805921 TSecr=805921 WS=128
19;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=1 Ack=1 Win=43776 Len=0 TSval=805921 TSecr=805921
20;;127.0.0.1;;127.0.0.1;HTTP;GET /capture_00001_20170304180024.csv HTTP/1.1 
21;;127.0.0.1;;127.0.0.1;TCP;8080 → 45676 [ACK] Seq=1 Ack=198 Win=44800 Len=0 TSval=805921 TSecr=805921
22;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
23;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=18 Win=43776 Len=0 TSval=805922 TSecr=805922
24;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
25;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=56 Win=43776 Len=0 TSval=805922 TSecr=805922
26;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
27;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=93 Win=43776 Len=0 TSval=805922 TSecr=805922
28;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
29;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=117 Win=43776 Len=0 TSval=805922 TSecr=805922
30;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
31;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=140 Win=43776 Len=0 TSval=805922 TSecr=805922
32;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
33;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=186 Win=43776 Len=0 TSval=805922 TSecr=805922
34;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
35;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=188 Win=43776 Len=0 TSval=805922 TSecr=805922
36;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
37;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=8380 Win=174720 Len=0 TSval=805922 TSecr=805922
38;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
39;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=16572 Win=305664 Len=0 TSval=805922 TSecr=805922
40;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
41;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=24764 Win=436608 Len=0 TSval=805922 TSecr=805922
42;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
43;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=32956 Win=465536 Len=0 TSval=805922 TSecr=805922
44;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
45;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=41148 Win=465536 Len=0 TSval=805922 TSecr=805922
46;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
47;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=49340 Win=465536 Len=0 TSval=805922 TSecr=805922
48;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
49;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=57532 Win=465536 Len=0 TSval=805922 TSecr=805922
50;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
51;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=65724 Win=465536 Len=0 TSval=805922 TSecr=805922
52;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
53;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=73916 Win=465536 Len=0 TSval=805922 TSecr=805922
54;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
55;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=82108 Win=465536 Len=0 TSval=805922 TSecr=805922
56;;127.0.0.1;;127.0.0.1;HTTP;HTTP/1.0 200 OK  (text/csv)
57;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [ACK] Seq=198 Ack=89176 Win=465536 Len=0 TSval=805922 TSecr=805922
58;;127.0.0.1;;127.0.0.1;TCP;8080 → 45676 [FIN, ACK] Seq=89176 Ack=198 Win=44800 Len=0 TSval=805922 TSecr=805922
59;;127.0.0.1;;127.0.0.1;TCP;45676 → 8080 [FIN, ACK] Seq=198 Ack=89177 Win=465536 Len=0 TSval=805922 TSecr=805922
60;;127.0.0.1;;127.0.0.1;TCP;8080 → 45676 [ACK] Seq=89177 Ack=199 Win=44800 Len=0 TSval=805922 TSecr=805922
61;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=805953 TSecr=0 WS=128
62;;127.0.0.1;;127.0.0.1;TCP;8080 → 45678 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=805953 TSecr=805953 WS=128
63;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=1 Ack=1 Win=43776 Len=0 TSval=805953 TSecr=805953
64;;127.0.0.1;;127.0.0.1;HTTP;GET /capture_00001_20170304180024.csv HTTP/1.1 
65;;127.0.0.1;;127.0.0.1;TCP;8080 → 45678 [ACK] Seq=1 Ack=198 Win=44800 Len=0 TSval=805953 TSecr=805953
66;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
67;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=18 Win=43776 Len=0 TSval=805953 TSecr=805953
68;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
69;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=56 Win=43776 Len=0 TSval=805953 TSecr=805953
70;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
71;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=93 Win=43776 Len=0 TSval=805953 TSecr=805953
72;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
73;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=117 Win=43776 Len=0 TSval=805953 TSecr=805953
74;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
75;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=140 Win=43776 Len=0 TSval=805953 TSecr=805953
76;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
77;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=186 Win=43776 Len=0 TSval=805953 TSecr=805953
78;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
79;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=188 Win=43776 Len=0 TSval=805953 TSecr=805953
80;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
81;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=8380 Win=174720 Len=0 TSval=805953 TSecr=805953
82;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
83;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=16572 Win=305664 Len=0 TSval=805953 TSecr=805953
84;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
85;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=24764 Win=436608 Len=0 TSval=805953 TSecr=805953
86;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
87;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=32956 Win=465536 Len=0 TSval=805953 TSecr=805953
88;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
89;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=41148 Win=465536 Len=0 TSval=805953 TSecr=805953
90;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
91;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=49340 Win=465536 Len=0 TSval=805953 TSecr=805953
92;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
93;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=57532 Win=465536 Len=0 TSval=805953 TSecr=805953
94;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
95;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=65724 Win=465536 Len=0 TSval=805953 TSecr=805953
96;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
97;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=73916 Win=465536 Len=0 TSval=805953 TSecr=805953
98;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
99;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=82108 Win=465536 Len=0 TSval=805953 TSecr=805953
100;;127.0.0.1;;127.0.0.1;HTTP;HTTP/1.0 200 OK  (text/csv)
101;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [ACK] Seq=198 Ack=89176 Win=465536 Len=0 TSval=805953 TSecr=805953
102;;127.0.0.1;;127.0.0.1;TCP;8080 → 45678 [FIN, ACK] Seq=89176 Ack=198 Win=44800 Len=0 TSval=805953 TSecr=805953
103;;127.0.0.1;;127.0.0.1;TCP;45678 → 8080 [FIN, ACK] Seq=198 Ack=89177 Win=465536 Len=0 TSval=805953 TSecr=805953
104;;127.0.0.1;;127.0.0.1;TCP;8080 → 45678 [ACK] Seq=89177 Ack=199 Win=44800 Len=0 TSval=805953 TSecr=805953
105;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=806015 TSecr=0 WS=128
106;;127.0.0.1;;127.0.0.1;TCP;8080 → 45680 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=806015 TSecr=806015 WS=128
107;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=1 Ack=1 Win=43776 Len=0 TSval=806015 TSecr=806015
108;;127.0.0.1;;127.0.0.1;HTTP;GET /capture_00001_20170304180024.csv HTTP/1.1 
109;;127.0.0.1;;127.0.0.1;TCP;8080 → 45680 [ACK] Seq=1 Ack=198 Win=44800 Len=0 TSval=806015 TSecr=806015
110;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
111;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=18 Win=43776 Len=0 TSval=806015 TSecr=806015
112;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
113;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=56 Win=43776 Len=0 TSval=806015 TSecr=806015
114;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
115;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=93 Win=43776 Len=0 TSval=806015 TSecr=806015
116;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
117;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=117 Win=43776 Len=0 TSval=806015 TSecr=806015
118;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
119;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=140 Win=43776 Len=0 TSval=806015 TSecr=806015
120;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
121;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=186 Win=43776 Len=0 TSval=806015 TSecr=806015
122;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
123;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=188 Win=43776 Len=0 TSval=806015 TSecr=806015
124;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
125;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=8380 Win=174720 Len=0 TSval=806015 TSecr=806015
126;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
127;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=16572 Win=305664 Len=0 TSval=806015 TSecr=806015
128;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
129;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=24764 Win=436608 Len=0 TSval=806015 TSecr=806015
130;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
131;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=32956 Win=465536 Len=0 TSval=806015 TSecr=806015
132;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
133;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=41148 Win=465536 Len=0 TSval=806015 TSecr=806015
134;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
135;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=49340 Win=465536 Len=0 TSval=806015 TSecr=806015
136;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
137;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=57532 Win=465536 Len=0 TSval=806015 TSecr=806015
138;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
139;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=65724 Win=465536 Len=0 TSval=806015 TSecr=806015
140;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
141;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=73916 Win=465536 Len=0 TSval=806015 TSecr=806015
142;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
143;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=82108 Win=465536 Len=0 TSval=806015 TSecr=806015
144;;127.0.0.1;;127.0.0.1;HTTP;HTTP/1.0 200 OK  (text/csv)
145;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [ACK] Seq=198 Ack=89176 Win=465536 Len=0 TSval=806015 TSecr=806015
146;;127.0.0.1;;127.0.0.1;TCP;8080 → 45680 [FIN, ACK] Seq=89176 Ack=198 Win=44800 Len=0 TSval=806015 TSecr=806015
147;;127.0.0.1;;127.0.0.1;TCP;45680 → 8080 [FIN, ACK] Seq=198 Ack=89177 Win=465536 Len=0 TSval=806015 TSecr=806015
148;;127.0.0.1;;127.0.0.1;TCP;8080 → 45680 [ACK] Seq=89177 Ack=199 Win=44800 Len=0 TSval=806015 TSecr=806015
149;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=806065 TSecr=0 WS=128
150;;127.0.0.1;;127.0.0.1;TCP;8080 → 45682 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=806065 TSecr=806065 WS=128
151;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=1 Ack=1 Win=43776 Len=0 TSval=806065 TSecr=806065
152;;127.0.0.1;;127.0.0.1;HTTP;GET /capture_00001_20170304180024.csv HTTP/1.1 
153;;127.0.0.1;;127.0.0.1;TCP;8080 → 45682 [ACK] Seq=1 Ack=198 Win=44800 Len=0 TSval=806065 TSecr=806065
154;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
155;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=18 Win=43776 Len=0 TSval=806065 TSecr=806065
156;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
157;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=56 Win=43776 Len=0 TSval=806065 TSecr=806065
158;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
159;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=93 Win=43776 Len=0 TSval=806065 TSecr=806065
160;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
161;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=117 Win=43776 Len=0 TSval=806065 TSecr=806065
162;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
163;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=140 Win=43776 Len=0 TSval=806065 TSecr=806065
164;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
165;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=186 Win=43776 Len=0 TSval=806065 TSecr=806065
166;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
167;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=188 Win=43776 Len=0 TSval=806065 TSecr=806065
168;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
169;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=8380 Win=174720 Len=0 TSval=806065 TSecr=806065
170;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
171;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=16572 Win=305664 Len=0 TSval=806065 TSecr=806065
172;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
173;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=24764 Win=436608 Len=0 TSval=806065 TSecr=806065
174;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
175;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=32956 Win=465536 Len=0 TSval=806065 TSecr=806065
176;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
177;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=41148 Win=465536 Len=0 TSval=806065 TSecr=806065
178;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
179;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=49340 Win=465536 Len=0 TSval=806065 TSecr=806065
180;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
181;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=57532 Win=465536 Len=0 TSval=806065 TSecr=806065
182;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
183;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=65724 Win=465536 Len=0 TSval=806065 TSecr=806065
184;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
185;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=73916 Win=465536 Len=0 TSval=806065 TSecr=806065
186;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
187;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=82108 Win=465536 Len=0 TSval=806066 TSecr=806066
188;;127.0.0.1;;127.0.0.1;HTTP;HTTP/1.0 200 OK  (text/csv)
189;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [ACK] Seq=198 Ack=89176 Win=465536 Len=0 TSval=806066 TSecr=806066
190;;127.0.0.1;;127.0.0.1;TCP;8080 → 45682 [FIN, ACK] Seq=89176 Ack=198 Win=44800 Len=0 TSval=806066 TSecr=806066
191;;127.0.0.1;;127.0.0.1;TCP;45682 → 8080 [FIN, ACK] Seq=198 Ack=89177 Win=465536 Len=0 TSval=806066 TSecr=806066
192;;127.0.0.1;;127.0.0.1;TCP;8080 → 45682 [ACK] Seq=89177 Ack=199 Win=44800 Len=0 TSval=806066 TSecr=806066
193;;127.0.0.1;;127.0.0.1;TCP;45684 → 8080 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=806115 TSecr=0 WS=128
194;;127.0.0.1;;127.0.0.1;TCP;8080 → 45684 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=806115 TSecr=806115 WS=128
195;;127.0.0.1;;127.0.0.1;TCP;45684 → 8080 [ACK] Seq=1 Ack=1 Win=43776 Len=0 TSval=806115 TSecr=806115
196;;127.0.0.1;;127.0.0.1;HTTP;GET /capture_00001_20170304180024.csv HTTP/1.1 
197;;127.0.0.1;;127.0.0.1;TCP;8080 → 45684 [ACK] Seq=1 Ack=198 Win=44800 Len=0 TSval=806115 TSecr=806115
198;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
199;;127.0.0.1;;127.0.0.1;TCP;45684 → 8080 [ACK] Seq=198 Ack=18 Win=43776 Len=0 TSval=806115 TSecr=806115
200;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
201;;127.0.0.1;;127.0.0.1;TCP;45684 → 8080 [ACK] Seq=198 Ack=56 Win=43776 Len=0 TSval=806115 TSecr=806115
202;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
203;;127.0.0.1;;127.0.0.1;TCP;45684 → 8080 [ACK] Seq=198 Ack=93 Win=43776 Len=0 TSval=806115 TSecr=806115
204;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
205;;127.0.0.1;;127.0.0.1;TCP;45684 → 8080 [ACK] Seq=198 Ack=117 Win=43776 Len=0 TSval=806115 TSecr=806115
206;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
207;;127.0.0.1;;127.0.0.1;TCP;45684 → 8080 [ACK] Seq=198 Ack=140 Win=43776 Len=0 TSval=806115 TSecr=806115
208;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
209;;127.0.0.1;;127.0.0.1;TCP;45684 → 8080 [ACK] Seq=198 Ack=186 Win=43776 Len=0 TSval=806115 TSecr=806115
210;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
211;;127.0.0.1;;127.0.0.1;TCP;45684 → 8080 [ACK] Seq=198 Ack=188 Win=43776 Len=0 TSval=806115 TSecr=806115
212;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
213;;127.0.0.1;;127.0.0.1;TCP;45684 → 8080 [ACK] Seq=198 Ack=8380 Win=174720 Len=0 TSval=806115 TSecr=806115
214;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
215;;127.0.0.1;;127.0.0.1;TCP;45684 → 8080 [ACK] Seq=198 Ack=16572 Win=305664 Len=0 TSval=806115 TSecr=806115
216;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
217;;127.0.0.1;;127.0.0.1;TCP;45684 → 8080 [ACK] Seq=198 Ack=24764 Win=436608 Len=0 TSval=806115 TSecr=806115
218;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
219;;127.0.0.1;;127.0.0.1;TCP;45684 → 8080 [ACK] Seq=198 Ack=32956 Win=465536 Len=0 TSval=806115 TSecr=806115
220;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
